gender,  age, family,  income,  marital, education, period, mailing, recent, total
0, 44, 2, 64, 1, 4, 13, 0, 3.7, 37.45
0, 33, 6, 136, 1, 5, 11, 0, 4.4, 42
1, 52, 2, 116, 1, 1, 68, 0, 18.15, 1300.6
1, 33, 1, 33, 0, 2, 33, 0, 9.45, 288.8
0, 30, 4, 30, 1, 1, 23, 0, 6.3, 157.05
1, 39, 1, 78, 0, 2, 41, 0, 11.8, 487.4
1, 22, 5, 19, 1, 2, 45, 1, 10.9, 504.5
0, 35, 3, 76, 0, 2, 38, 1, 6.05, 239.55
0, 59, 5, 166, 1, 4, 45, 0, 9.75, 449.05
0, 41, 3, 72, 1, 1, 68, 0, 24.15, 1659.7
1, 33, 1, 125, 0, 4, 5, 1, 4.85, 17.25
1, 35, 1, 80, 0, 2, 7, 0, 7.1, 47.45
1, 38, 3, 37, 1, 2, 41, 0, 8.55, 308.7
1, 54, 3, 115, 1, 4, 57, 1, 15.6, 825.35
1, 46, 2, 25, 0, 1, 9, 0, 4.4, 36.8
0, 38, 4, 75, 1, 5, 29, 0, 5.1, 146.25
0, 57, 1, 162, 0, 2, 60, 0, 16.15, 946.9
1, 48, 3, 49, 0, 2, 34, 0, 6.65, 230.8
0, 24, 1, 20, 0, 1, 1, 0, 1.05, 1.05
0, 29, 4, 77, 1, 4, 26, 1, 6.7, 140.95
1, 30, 1, 16, 0, 3, 6, 0, 3.75, 25.65
0, 52, 2, 120, 1, 1, 68, 0, 20.7, 1391.05
1, 33, 2, 101, 0, 5, 53, 1, 5.3, 253.35
0, 48, 3, 67, 1, 1, 55, 0, 15.05, 810.45
0, 43, 5, 36, 1, 1, 14, 0, 12.5, 153.75
1, 21, 3, 33, 0, 2, 1, 0, 2.2, 2.2
1, 40, 1, 37, 0, 2, 42, 1, 8.25, 399.15
0, 33, 4, 31, 1, 1, 25, 0, 9.1, 234.95
1, 21, 3, 17, 1, 2, 9, 0, 2.9, 25.25
1, 33, 2, 19, 1, 4, 13, 1, 5.55, 75.25
1, 37, 2, 36, 1, 1, 56, 1, 10.6, 582.6
0, 53, 2, 155, 1, 5, 71, 1, 21, 1519.2
1, 50, 4, 140, 1, 2, 35, 0, 6.5, 247.55
0, 27, 3, 55, 1, 5, 11, 0, 4.8, 54.1
0, 46, 2, 163, 1, 3, 60, 1, 33.9, 1947.95
0, 35, 2, 52, 1, 4, 20, 1, 4.25, 82.7
0, 60, 1, 211, 0, 4, 54, 1, 21.15, 1228.7
0, 57, 2, 186, 1, 2, 44, 0, 9.8, 428.25
1, 41, 2, 39, 1, 1, 11, 0, 6.55, 67.8
1, 57, 1, 22, 0, 2, 72, 0, 41.75, 3043.05
0, 41, 1, 30, 0, 1, 10, 0, 2.5, 31.25
1, 28, 1, 29, 0, 2, 15, 0, 4.25, 78
0, 28, 5, 23, 1, 2, 27, 0, 6.2, 180.15
0, 36, 6, 62, 1, 4, 9, 1, 5.65, 43.3
1, 43, 4, 76, 1, 4, 64, 0, 14.7, 897.05
0, 41, 2, 74, 1, 4, 65, 1, 14.5, 963.3
0, 51, 5, 63, 1, 4, 49, 1, 12.85, 585.6
0, 41, 2, 36, 1, 4, 47, 1, 7.75, 361
1, 34, 4, 33, 1, 2, 9, 0, 2.95, 18.9
1, 36, 1, 29, 0, 2, 5, 1, 3.25, 16.8
0, 34, 5, 27, 1, 2, 30, 0, 6.3, 150.9
0, 52, 4, 49, 1, 2, 56, 0, 24.75, 1349.05
0, 22, 1, 24, 0, 4, 10, 1, 7.8, 63
0, 26, 5, 26, 1, 2, 7, 0, 4.85, 33.7
0, 27, 2, 47, 0, 3, 52, 1, 6.25, 330.4
1, 45, 5, 94, 1, 2, 36, 0, 7.2, 258.75
1, 34, 1, 21, 0, 3, 27, 0, 7.65, 213.45
0, 62, 2, 27, 1, 1, 58, 0, 15.5, 967.1
1, 52, 1, 30, 0, 2, 41, 0, 10.4, 447.85
1, 40, 4, 127, 1, 4, 47, 1, 19.7, 909.9
1, 39, 2, 137, 1, 2, 55, 0, 12.7, 676.9
1, 50, 4, 80, 1, 2, 56, 0, 28.8, 1558.1
0, 55, 1, 30, 0, 2, 35, 0, 10.25, 395.85
1, 51, 2, 438, 1, 4, 69, 0, 29, 1815.4
0, 39, 1, 79, 0, 2, 44, 1, 15.25, 653.7
0, 47, 2, 63, 1, 1, 36, 0, 9.05, 373.65
1, 51, 6, 40, 1, 3, 28, 0, 8.95, 253.55
0, 67, 2, 51, 1, 1, 72, 0, 57.05, 4168.25
0, 27, 4, 37, 0, 3, 16, 0, 6, 80.7
1, 43, 1, 61, 0, 4, 3, 1, 3.15, 7.9
0, 57, 2, 22, 1, 2, 40, 0, 8.55, 381.5
1, 39, 1, 44, 0, 4, 16, 1, 6.6, 96.3
0, 42, 1, 17, 0, 3, 20, 0, 7.8, 175.85
1, 43, 3, 110, 0, 5, 48, 1, 7.25, 359.35
0, 48, 2, 91, 1, 2, 64, 0, 24.5, 1531.9
0, 46, 1, 46, 0, 2, 8, 1, 3.15, 16.65
0, 38, 2, 85, 1, 3, 40, 0, 10.6, 384.8
0, 71, 1, 10, 0, 2, 38, 0, 11.2, 429.85
1, 68, 1, 244, 0, 1, 67, 0, 30.25, 2186.2
1, 42, 1, 80, 0, 4, 26, 1, 7.85, 196.65
1, 34, 2, 83, 1, 5, 41, 0, 8.9, 379.55
0, 31, 1, 21, 0, 1, 2, 0, 1.65, 3.2
0, 48, 2, 24, 1, 2, 20, 0, 11.85, 230.7
1, 53, 1, 351, 0, 3, 31, 0, 5.5, 185.3
1, 52, 4, 169, 1, 4, 45, 0, 14.65, 618.15
0, 27, 4, 46, 1, 2, 33, 1, 7.25, 243.35
0, 26, 1, 34, 0, 3, 10, 0, 4.85, 41.85
0, 54, 2, 50, 1, 4, 62, 1, 17.25, 1067.8
1, 35, 1, 161, 0, 5, 4, 1, 3.4, 10.35
0, 47, 2, 212, 1, 4, 42, 0, 7.45, 320.9
0, 51, 3, 80, 1, 5, 27, 1, 7.1, 176.2
1, 42, 1, 30, 0, 4, 38, 0, 13.2, 495.85
1, 61, 2, 53, 1, 5, 52, 1, 12.25, 631.7
1, 33, 1, 73, 0, 5, 35, 1, 5.85, 216.6
1, 20, 4, 17, 1, 2, 3, 1, 3.75, 12.3
0, 33, 1, 23, 0, 5, 17, 1, 10.2, 196.3
0, 53, 2, 34, 1, 1, 55, 0, 5.7, 304.4
1, 36, 3, 107, 1, 1, 43, 0, 11.55, 491.55
1, 25, 2, 21, 1, 1, 47, 0, 8.65, 426.6
1, 58, 1, 83, 0, 2, 65, 0, 19.3, 1323.2
0, 20, 5, 17, 0, 3, 13, 1, 3.05, 40.3
1, 25, 6, 76, 1, 3, 64, 1, 24.05, 1536.55
0, 24, 1, 19, 0, 1, 12, 0, 4, 46
1, 32, 3, 49, 1, 4, 29, 1, 6.7, 187
1, 47, 1, 173, 0, 3, 23, 1, 7.6, 145.9
1, 35, 1, 47, 0, 3, 14, 1, 5, 76.2
0, 61, 1, 41, 0, 2, 35, 0, 9.6, 353.55
1, 39, 1, 105, 0, 3, 26, 1, 6.6, 159.7
0, 54, 1, 31, 0, 4, 13, 1, 5.85, 97
0, 40, 3, 41, 1, 2, 69, 0, 25.25, 1725.1
1, 50, 3, 102, 1, 4, 61, 1, 12.6, 760.3
1, 22, 5, 36, 1, 4, 45, 0, 9.95, 412.1
1, 37, 1, 24, 0, 1, 3, 1, 2, 3.05
0, 22, 2, 25, 0, 4, 53, 1, 12.05, 666
1, 42, 1, 68, 0, 2, 59, 0, 17.3, 997.85
1, 34, 1, 20, 0, 3, 13, 0, 4.8, 71.05
0, 31, 1, 48, 0, 1, 31, 0, 3.8, 127.7
1, 29, 5, 40, 1, 2, 40, 0, 13, 502.95
0, 55, 1, 79, 0, 1, 48, 0, 13.8, 668.65
0, 31, 1, 28, 0, 1, 3, 0, 3.45, 13.3
1, 48, 1, 64, 0, 2, 51, 0, 14.8, 708.45
0, 41, 1, 37, 0, 2, 33, 0, 12.2, 415.05
0, 47, 2, 48, 1, 1, 14, 0, 4.25, 55.5
0, 42, 3, 131, 1, 5, 17, 1, 5.8, 103.1
0, 29, 3, 18, 1, 2, 19, 1, 5.4, 108.5
1, 36, 1, 38, 0, 2, 58, 0, 10.15, 538.65
1, 23, 3, 37, 0, 2, 22, 1, 5.35, 144.05
