id, sex, age, job, total, avrprice, variety, period, cpnsurvey, cpntype, cpnclick, cpnprice
1, 2, 41, 3, 66.3, 1.4, 3.5, 0.2, 5, 1, 1, 5.1
2, 2, 56, 1, 63.7, 1.4, 3.0, 0.2, 4, 2, 9, 999.0
3, 2, 60, 3, 61.1, 1.3, 3.2, 0.2, 5, 1, 1, 4.7
4, 2, 54, 1, 59.8, 1.5, 3.1, 0.2, 3, 2, 1, 999.0
5, 2, 56, 1, 65.0, 1.4, 3.6, 0.2, 5, 1, 1, 5.0
6, 2, 33, 3, 70.2, 1.7, 3.9, 0.4, 2, 2, 1, 5.4
7, 2, 32, 2, 59.8, 1.4, 3.4, 0.3, 5, 1, 1, 999.0
8, 2, 22, 2, 65.0, 1.5, 3.4, 0.2, 2, 2, 1, 5.0
9, 2, 28, 2, 57.2, 1.4, 2.9, 0.2, 3, 1, 1, 4.4
10, 1, 40, 2, 63.7, 1.5, 3.1, 0.1, 4, 2, 1, 4.9
11, 2, 43, 1, 70.2, 1.5, 3.7, 0.2, 5, 1, 1, 999.0
12, 1, 57, 3, 62.4, 1.6, 3.4, 0.2, 2, 2, 9, 999.0
13, 1, 27, 2, 62.4, 1.4, 3.0, 0.1, 4, 1, 1, 999.0
14, 2, 25, 1, 55.9, 1.1, 3.0, 0.1, 5, 2, 1, 4.3
15, 2, 40, 3, 75.4, 1.2, 4.0, 0.2, 5, 1, 1, 5.8
16, 1, 51, 3, 74.1, 1.5, 4.4, 0.4, 2, 2, 1, 5.7
17, 1, 60, 2, 70.2, 1.3, 3.9, 0.4, 3, 1, 9, 999.0
18, 1, 51, 2, 66.3, 1.4, 3.5, 0.3, 4, 2, 1, 5.1
19, 2, 36, 3, 74.1, 1.7, 3.8, 0.3, 2, 1, 9, 999.0
20, 1, 32, 1, 66.3, 1.5, 3.8, 0.3, 5, 2, 9, 999.0
21, 1, 55, 3, 70.2, 1.7, 3.4, 0.2, 1, 1, 9, 999.0
22, 1, 50, 3, 66.3, 1.5, 3.7, 0.4, 3, 2, 1, 5.1
23, 1, 43, 1, 59.8, 1.0, 3.6, 0.2, 4, 1, 1, 999.0
24, 2, 52, 1, 66.3, 1.7, 3.3, 0.5, 2, 2, 1, 4.1
25, 2, 35, 3, 62.4, 1.9, 3.4, 0.2, 3, 1, 1, 4.8
26, 2, 46, 1, 65.0, 1.6, 3.0, 0.2, 5, 2, 9, 999.0
27, 2, 25, 3, 65.0, 1.6, 3.4, 0.4, 2, 1, 1, 5.0
28, 2, 21, 2, 67.6, 1.5, 3.5, 0.2, 4, 2, 9, 999.0
29, 1, 53, 2, 67.6, 1.4, 3.4, 0.2, 2, 1, 1, 5.2
30, 1, 29, 3, 61.1, 1.6, 3.2, 0.2, 3, 2, 1, 4.7
31, 2, 51, 2, 62.4, 1.6, 3.1, 0.2, 5, 1, 1, 999.0
32, 1, 54, 1, 70.2, 1.5, 3.4, 0.4, 2, 2, 1, 4.4
33, 2, 21, 3, 67.6, 1.5, 4.1, 0.1, 4, 1, 1, 5.2
34, 2, 56, 1, 71.5, 1.4, 4.2, 0.2, 2, 2, 9, 999.0
35, 1, 56, 3, 63.7, 1.5, 3.1, 0.1, 3, 1, 9, 999.0
