이용개월,연령,결혼,소득,교육,성별,가족수,최근구매금액,총구매금액,메일링
period, age, marital, income,education, gender,family,recent,total,mailing
13,44,1,64,4,0,2,3.7,37.45,0
11,33,1,136,5,0,6,4.4,42,0
68,52,1,116,1,1,2,18.15,1300.6,0
33,33,0,33,2,1,1,9.45,288.8,0
23,30,1,30,1,0,4,6.3,157.05,0
41,39,0,78,2,1,1,11.8,487.4,0
45,22,1,19,2,1,5,10.9,504.5,1
38,35,0,76,2,0,3,6.05,239.55,1
45,59,1,166,4,0,5,9.75,449.05,0
68,41,1,72,1,0,3,24.15,1659.7,0
5,33,0,125,4,1,1,4.85,17.25,1
7,35,0,80,2,1,1,7.1,47.45,0
41,38,1,37,2,1,3,8.55,308.7,0
57,54,1,115,4,1,3,15.6,825.35,1
9,46,0,25,1,1,2,4.4,36.8,0
29,38,1,75,5,0,4,5.1,146.25,0
60,57,0,162,2,0,1,16.15,946.9,0
34,48,0,49,2,1,3,6.65,230.8,0
1,24,0,20,1,0,1,1.05,1.05,0
26,29,1,77,4,0,4,6.7,140.95,1
6,30,0,16,3,1,1,3.75,25.65,0
68,52,1,120,1,0,2,20.7,1391.05,0
53,33,0,101,5,1,2,5.3,253.35,1
55,48,1,67,1,0,3,15.05,810.45,0
14,43,1,36,1,0,5,12.5,153.75,0
1,21,0,33,2,1,3,2.2,2.2,0
42,40,0,37,2,1,1,8.25,399.15,1
25,33,1,31,1,0,4,9.1,234.95,0
9,21,1,17,2,1,3,2.9,25.25,0
13,33,1,19,4,1,2,5.55,75.25,1
56,37,1,36,1,1,2,10.6,582.6,1
71,53,1,155,5,0,2,21,1519.2,1
35,50,1,140,2,1,4,6.5,247.55,0
11,27,1,55,5,0,3,4.8,54.1,0
60,46,1,163,3,0,2,33.9,1947.95,1
20,35,1,52,4,0,2,4.25,82.7,1
54,60,0,211,4,0,1,21.15,1228.7,1
44,57,1,186,2,0,2,9.8,428.25,0
11,41,1,39,1,1,2,6.55,67.8,0
72,57,0,22,2,1,1,41.75,3043.05,0
10,41,0,30,1,0,1,2.5,31.25,0
15,28,0,29,2,1,1,4.25,78,0
27,28,1,23,2,0,5,6.2,180.15,0
9,36,1,62,4,0,6,5.65,43.3,1
64,43,1,76,4,1,4,14.7,897.05,0
65,41,1,74,4,0,2,14.5,963.3,1
49,51,1,63,4,0,5,12.85,585.6,1
47,41,1,36,4,0,2,7.75,361,1
9,34,1,33,2,1,4,2.95,18.9,0
5,36,0,29,2,1,1,3.25,16.8,1
30,34,1,27,2,0,5,6.3,150.9,0
56,52,1,49,2,0,4,24.75,1349.05,0
10,22,0,24,4,0,1,7.8,63,1
