P_SEQ,M_SEQ,M_NAME,A_SEQ,A_NAME,A_UNIT,A_PRICE,P_YEAR_MONTH,ADD_COL,M_TYPE_CODE,M_TYPE_NAME,M_GU_CODE,M_GU_NAME
316440,19,대림중앙시장,50,사과(부사),1개,1660,Jul-12,6/10000,1,전통시장,560000,영등포구
316441,19,대림중앙시장,276,배(신고),1개,2000,Jul-12,,1,전통시장,560000,영등포구
316442,19,대림중앙시장,271,배추(중간),1포기,1666,Jul-12,3포기 5000,1,전통시장,560000,영등포구
316443,19,대림중앙시장,282,무(세척무),1개,1000,Jul-12,,1,전통시장,560000,영등포구
316444,19,대림중앙시장,272,양파(작은망),1망,2500,Jul-12,햇양파,1,전통시장,560000,영등포구
316445,19,대림중앙시장,23,상추,100g,500,Jul-12, ,1,전통시장,560000,영등포구
316446,19,대림중앙시장,311,오이(다다기),1개,333,Jul-12,6개 2000원 ,1,전통시장,560000,영등포구
316447,19,대림중앙시장,312,애호박,1개,800,Jul-12,,1,전통시장,560000,영등포구
316448,19,대림중앙시장,58,"쇠고기(한우,불고기)",600g,16800,Jul-12,설도,1,전통시장,560000,영등포구
316449,19,대림중앙시장,202,돼지고기(생삼겹살),600g,9900,Jul-12,,1,전통시장,560000,영등포구
316450,19,대림중앙시장,18,닭고기,1마리,3780,Jul-12,국내산,1,전통시장,560000,영등포구
316451,19,대림중앙시장,134,달걀(왕란),10개,1500,Jul-12,특란,1,전통시장,560000,영등포구
316452,19,대림중앙시장,303,조기,1마리,1500,Jul-12,,1,전통시장,560000,영등포구
316453,19,대림중앙시장,152,"명태(러시아,냉동)",1마리(30cm),1500,Jul-12,동태,1,전통시장,560000,영등포구
316454,19,대림중앙시장,256,"오징어(냉동,국산)",1마리(30cm),2500,Jul-12,,1,전통시장,560000,영등포구
316455,19,대림중앙시장,266,"고등어(생물,국산)",1마리(20cm),2000,Jul-12,,1,전통시장,560000,영등포구
316616,20,영등포 재래시장,305,"사과(부사, 300g)",1개,2500,Jul-12,,1,전통시장,560000,영등포구
316617,20,영등포 재래시장,306,"배(신고, 600g)",1개,3000,Jul-12,신고,1,전통시장,560000,영등포구
316618,20,영등포 재래시장,26,배추,1포기,3000,Jul-12,,1,전통시장,560000,영등포구
316619,20,영등포 재래시장,308,무(1kg),1개,1000,Jul-12,,1,전통시장,560000,영등포구
316620,20,영등포 재래시장,24,양파,2Kg,3500,Jul-12,햇양파,1,전통시장,560000,영등포구
316621,20,영등포 재래시장,310,상추(100g),100g,800,Jul-12,,1,전통시장,560000,영등포구
316622,20,영등포 재래시장,311,오이(다다기),1개,333,Jul-12,6개/2000원,1,전통시장,560000,영등포구
316623,20,영등포 재래시장,312,애호박,1개,1000,Jul-12,,1,전통시장,560000,영등포구
316624,20,영등포 재래시장,58,"쇠고기(한우,불고기)",600g(1등급),18000,Jul-12,,1,전통시장,560000,영등포구
316625,20,영등포 재래시장,52,돼지고기(삼겹살),600g,12000,Jul-12,생삼겹,1,전통시장,560000,영등포구
316626,20,영등포 재래시장,283,닭고기(육계),1마리,5000,Jul-12,국내산,1,전통시장,560000,영등포구
316627,20,영등포 재래시장,134,달걀(왕란),10개,1830,Jul-12,30개/5500,1,전통시장,560000,영등포구
316628,20,영등포 재래시장,144,"조기(국산,냉동)",1마리 ,2000,Jul-12,,1,전통시장,560000,영등포구
316629,20,영등포 재래시장,152,"명태(러시아,냉동)",1마리 (30cm),1500,Jul-12,동태,1,전통시장,560000,영등포구
316630,20,영등포 재래시장,254,"오징어(생물,국산)",1마리 (25cm),2500,Jul-12,,1,전통시장,560000,영등포구
316631,20,영등포 재래시장,269,"고등어(냉동,수입산)",1마리 (20cm),1500,Jul-12,노르웨이 ,1,전통시장,560000,영등포구
316632,21,홈플러스 영등포점,28,사과,1개,1960,Jul-12,홈플러스  45개9800원,2,대형마트,560000,영등포구
316633,21,홈플러스 영등포점,306,"배(신고, 600g)",1개,4000,Jul-12,,2,대형마트,560000,영등포구
316634,21,홈플러스 영등포점,307,배추(2.5~3kg),1포기,3280,Jul-12,,2,대형마트,560000,영등포구
316635,21,홈플러스 영등포점,308,무(1kg),1개,2000,Jul-12,,2,대형마트,560000,영등포구
316636,21,홈플러스 영등포점,24,양파,1망(1.0kg),2280,Jul-12,햇양파,2,대형마트,560000,영등포구
316637,21,홈플러스 영등포점,23,상추,100g,990,Jul-12, 봉지상추,2,대형마트,560000,영등포구
316638,21,홈플러스 영등포점,311,오이(다다기),1개,360,Jul-12,,2,대형마트,560000,영등포구
316639,21,홈플러스 영등포점,312,애호박,1개,610,Jul-12,홈플러스좋은상품,2,대형마트,560000,영등포구
