total, avrprice, variety, period, cpnsurvey, cpnprice, gender, job
66.3, 1.4, 3.5, 0.2, 5, 5.1, 1, 1
63.7, 1.4, 3.0, 0.2, 4, , 1, 2
61.1, 1.3, 3.2, 0.2, 5, 4.7, 1, 2
59.8, 1.5, 3.1, 0.2, 7, , 1, 3
65.0, 1.4, 3.6, 0.2, 5, 5.0, 1, 3
70.2, 1.7, 3.9, 0.4, 2, 5.4, 1, 2
59.8, 1.4, 3.4, 0.3, 5, , 1, 1
65.0, 1.5, 3.4, 0.2, 12, 675.0, 1, 2
57.2, 1.4, 2.9, 0.2, 3, 4.4, 1, 1
63.7, 1.5, 3.1, 0.1, 4, 4.9, 1, 2
70.2, 1.5, 3.7, 0.2, 5, , 1, 1
62.4, 1.6, 3.4, 0.2, 2, , 1, 3
62.4, 1.4, 3.0, 0.1, 4, , 1, 1
55.9, 1.1, 3.0, 0.1, 5, 4.3, 1, 3
75.4, 1.2, 4.0, 0.2, 5, 225.8, 1, 2
74.1, 1.5, 4.4, 0.4, 2, 5.7, 1, 1
70.2, 1.3, 3.9, 0.4, 3, , 1, 2
66.3, 1.4, 3.5, 0.3, -4, 5.1, 1, 3
74.1, 1.7, 3.8, 0.3, 2, , 1, 2
66.3, 1.5, 3.8, 0.3, 5, , 1, 1
70.2, 1.7, 3.4, 0.2, 1, , 1, 1
66.3, 1.5, 3.7, 0.4, 3, 5.1, 1, 3
59.8, 1.0, 3.6, 0.2, 4, , 1, 1
66.3, 1.7, 3.3, 0.5, 2, 4.1, 1, 2
62.4, 1.9, 3.4, 0.2, 3, -4.8, 1, 1
65.0, 1.6, 3.0, 0.2, 5, , 1, 3
65.0, 1.6, 3.4, 0.4, 2, 5.0, 1, 1
67.6, 1.5, 3.5, 0.2, 4, , 1, 1
67.6, 1.4, 3.4, 0.2, 2, 5.2, 1, 2
61.1, 1.6, 3.2, 0.2, 3, 4.7, 1, 1
62.4, 1.6, 3.1, 0.2, 5, , 1, 1
70.2, 1.5, 3.4, 0.4, 2, 4.4, 1, 2
67.6, 1.5, 4.1, 0.1, 4, 5.2, 1, 1
71.5, 1.4, 4.2, 0.2, 2, , 1, 3
63.7, 1.5, 3.1, 0.1, 3, , 1, 1
65.0, 1.2, 3.2, 0.2, 4, 4.0, 1, 3
71.5, 1.3, 3.5, 0.2, 5, , 1, 1
63.7, 1.5, 3.1, 0.1, 2, , 1, 2
57.2, 1.3, 3.0, 0.2, 4, , 1, 2
66.3, 1.5, 3.4, 0.2, 1, 4.1, 1, 1
65.0, 1.3, 3.5, 0.3, 3, 5.0, 1, 3
58.5, 1.3, 2.3, 0.3, 5, , 1, 1
57.2, 1.3, 3.2, 0.2, 2, , 1, 1
65.0, 1.6, 3.5, 0.6, 4, 4.0, 1, 2
66.3, 1.9, 3.8, 0.4, 5, 85.1, 1, 1
62.4, 1.4, 3.0, 0.3, 1, 3.8, 1, 2
66.3, 1.6, 3.8, 0.2, 2, , 1, 3
59.8, 1.4, 3.2, 0.2, 3, , 1, 3
68.9, 1.5, 3.7, 0.2, 1, 5.3, 1, 1
65.0, 1.4, 3.3, 0.2, -4, , 1, 2
91.0, 4.7, 3.2, 1.4, 11, 7.0, 1, 2
83.2, 4.5, 3.2, 1.5, 2, 6.4, 1, 2
89.7, 4.9, 3.1, 1.5, 12, , 1, 1
71.5, 4.0, 2.3, 1.3, 5, 5.5, 1, 3
84.5, 4.6, 2.8, 1.5, 8, , 1, 2
74.1, 4.5, 2.8, 1.3, 3, 4.7, 1, 2
81.9, 4.7, 3.3, 1.6, 4, , 1, 1
63.7, 3.3, 2.4, 1.0, 1, 3.9, 1, 3
85.8, 4.6, 2.9, 1.3, 5, , 1, 2
67.6, 3.9, 2.7, 1.4, 7, 4.1, 1, 2
65.0, 3.5, 2.0, 1.0, 1, 5.0, 1, 1
76.7, 4.2, 3.0, 1.5, 4, , 1, 3
78.0, 4.0, 2.2, 1.0, 1, 6.0, 1, 2
79.3, 4.7, 2.9, 1.4, -5, 3.3, 2, 2
72.8, 3.6, 2.9, 1.3, 1, -345.6, 2, 1
87.1, 4.4, 3.1, 1.4, 1, , 2, 2
72.8, 4.5, 3.0, 1.5, 3, 5.6, 2, 2
75.4, 4.1, 2.7, 1.0, 1, , 2, 1
80.6, 4.5, 2.2, 1.5, 1, 6.2, 2, 3
72.8, 3.9, 2.5, 1.1, 5, , 2, 2
76.7, 4.8, 3.2, 1.8, 1, -5.9, 2, 2
79.3, 4.0, 2.8, 1.3, 3, 3.4, 2, 1
81.9, 4.9, 2.5, 1.5, 1, 6.3, 2, 3
79.3, 4.7, 2.8, 1.2, 5, , 2, 2
83.2, 4.3, 2.9, 1.3, 1, 6.4, 2, 1
85.8, 4.4, 3.0, 1.4, 2, 3.0, 2, 2
88.4, 4.8, 2.8, 1.4, 3, 6.8, 2, 3
87.1, 5.0, 3.0, 1.7, 1, , 2, 2
78.0, 4.5, 2.9, 1.5, 4, , 2, 2
74.1, 3.5, 2.6, 1.0, 1, 5.2, 2, 1
71.5, 3.8, 2.4, 1.1, 3, 5.5, 2, 2
71.5, 3.7, 2.4, 1.0, 1, , 2, 3
75.4, 3.9, 2.7, 1.2, 4, 5.8, 2, 2
78.0, 5.1, 2.7, 1.6, 1, , 2, 2
70.2, 4.5, 3.0, 1.5, 3, 5.4, 2, 2
78.0, 4.5, 3.4, 1.6, 2, 6.0, 2, 1
87.1, 4.7, 3.1, 1.5, 1, 6.7, 2, 3
81.9, 4.4, 2.3, 1.3, 4, 5.2, 2, 2
72.8, 4.1, 3.0, 1.3, 1, 5.6, 2, 2
71.5, 4.0, 2.5, 1.3, 2, , 2, 1
71.5, 4.4, 2.6, 1.2, 3, 5.5, 2, 3
79.3, 4.6, 3.0, 1.4, 1, 6.1, 2, 1
75.4, 4.0, 2.6, 1.2, 4, , 2, 1
65.0, 3.3, 2.3, 1.0, 1, 5.0, 2, 2
72.8, 4.2, 2.7, 1.3, 2, , 2, 3
74.1, 4.2, 3.0, 1.2, 3, 5.7, 2, 2
74.1, 4.2, 2.9, 1.3, 1, 115.7, 2, 2
80.6, 4.3, 2.9, 1.3, 4, , 2, 3
66.3, 3.0, 2.5, 1.1, 2, 75.1, 2, 2
74.1, 4.1, 2.8, 1.3, 1, 5.7, 2, 2
81.9, 6.0, 3.3, 2.5, 3, 6.3, 2, 3
75.4, 5.1, 2.7, 1.9, 2, , 2, 3
92.3, 5.9, 3.0, 2.1, 14, 7.1, 2, 1
81.9, 5.6, 2.9, 1.8, 1, , 2, 3
84.5, 5.8, 3.0, 2.2, 6, 6.5, 2, 1
98.8, 6.6, 3.0, 2.1, 1, , 2, 3
63.7, 4.5, 2.5, 1.7, 3, 4.9, 2, 2
94.9, 6.3, 2.9, 1.8, 2, 6.2, 2, 3
87.1, 5.8, 2.5, 1.8, 2, , 2, 3
93.6, 6.1, 3.6, 2.5, 3, 7.2, 2, 3
84.5, 5.1, 3.2, 2.0, 1, 6.5, 2, 2
83.2, 5.3, 2.7, 1.9, 4, 6.4, 2, 3
88.4, 5.5, 3.0, 2.1, 2, 6.8, 2, 3
74.1, 5.0, 2.5, 2.0, 3, , 2, 1
75.4, 5.1, 2.8, 2.4, 1, 5.8, 2, 2
83.2, 5.3, 3.2, 2.3, 3, , 2, 3
84.5, 5.5, 3.0, 1.8, 1, , 2, 3
100.1, 6.7, 3.8, 2.2, 3, 6.7, 2, 1
100.1, 6.9, 2.6, 2.3, 2, 7.7, 2, 3
78.0, 5.0, 2.2, 1.5, 2, , 2, 3
89.7, 5.7, 3.2, 2.3, 1, 6.9, 2, 2
72.8, 4.9, 2.8, 2.0, 4, , 2, 3
100.1, 6.7, 2.8, 2.0, 1, 7.7, 2, 1
81.9, 4.9, 2.7, 1.8, 3, , 2, 3
87.1, 5.7, 3.3, 2.1, 2, 6.7, 2, 3
93.6, 6.0, 3.2, 1.8, 3, , 2, 2
80.6, 4.8, 2.8, 1.8, 2, 6.2, 2, 3
79.3, 4.9, 3.0, 1.8, 1, , 2, 1
83.2, 5.6, 2.8, 2.1, 4, 6.4, 2, 3
93.6, 5.8, 3.0, 1.6, 1, -235.8, 2, 1
96.2, 6.1, 2.8, 1.9, 2, , 2, 3
102.7, 6.4, 3.8, 2.0, 3, 7.9, 2, 3
83.2, 5.6, 2.8, 2.2, 1, 6.4, 2, 2
81.9, 5.1, 2.8, 1.5, 2, 6.3, 2, 3
79.3, 5.6, 2.6, 1.4, 1, 6.1, 2, 1
100.1, 6.1, 3.0, 2.3, 1, , 2, 3
81.9, 5.6, 3.4, 2.4, 8, 6.3, 2, 2
83.2, 5.5, 3.1, 1.8, 1, , 2, 3
78.0, 4.8, 3.0, 1.8, 1, 6.0, 2, 3
89.7, 5.4, 3.1, 2.1, 2, 6.9, 2, 3
87.1, 5.6, 3.1, 2.4, 1, , 2, 3
89.7, 5.1, 3.1, 2.3, 3, 4.3, 2, 2
75.4, 5.1, 2.7, 1.9, 1, , 2, 3
88.4, 5.9, 3.2, 2.3, 9, , 2, 3
87.1, 5.7, 3.3, 2.5, 1, 6.7, 2, 3
87.1, 5.2, 3.0, 2.3, 2, 5.4, 2, 1
81.9, 5.0, 2.5, 1.9, 1, , 2, 3
84.5, 5.2, 3.0, 2.0, 2, 336.5, 2, 3
80.6, 5.4, 3.4, 2.3, -1, 6.2, 2, 2
76.7, 5.1, 3.0, 1.8, 1, 5.9, 2, 3
